1,GSM isn't in the original list which is why it isn't in the enum.,0
4,"Yeah, we can file a bug against android or just fix it and submit a patch.",1
5,"when i was suggesting flipping the boolean, i did also wonder whether we wouldn't be better off just passing in the length. if it's <= 0, interpret that as ""don't know""? that would then move 8192 down out of the callers too.

or... i really like the way you went for readFully rather than implementing the missing read()s, which is what i'd actually imagined. how about we go one further and just have a static fromFile or similar? then it could do the stat, and have everything it needs. you could even use Libcore.os open/fstat/read/close to avoid the RandomAccessFile without increasing the overall amount of code.",1
6,"Ohhh. I have a white background, so I didn't catch the yellow highlight. Thanks!",1
7,The code in this library was generated by emugen and then manually modified ('vi' transformations) to match this library need. This code will be replaced with driver implementation.,0
8,"Per our discussion, make this a class that's just the combobox? Maybe like AndroidApiCombo?",0
10,"Don't introduce new types unless you truly need them; they are supposed to be equivalence classes, and the more you define, the larger the policy will grow (GS4 policy has significant bloat due to unnecessary types that get _exactly_ the same allow rules as existing types).",-1
11,similar to previous diff; this is just moving the crop state from an SWT Button state to a flag in the wizard state object,0
13,"if we've got this, do we still need the flag?

this field should probably be called something more like ""allocated_stack_size"".",0
14,"I think the cleanest style here would be to make this:
class_linker->IsCompiledImageMethod(m)
and then embed MayBe... into ClassLinker as IsCompiledImageMethod. It'd be nice to avoid exposing the debugger to inner notions of oat files.",1
15,"Just a question: Does ant use ; as a path separator on all platforms, or should you use File.pathSeparator (which will be : on Windows) ?",0
17,I wonder why jetbrains repeats this code in all their bundles.,-1
18,"Point-of-fact: it was the wait feature that you now find workable from Python... The '--nowait' argument disables that new feature, reverting back to prior behavior.",0
19,"Either you don't need these brackets, or you need brackets above where you do:

if(icmp->type != ICMP_ECHO && icmp->type != ICMP_ECHOREPLY) {

Can you make the two consistent?",-1
20,"Added tests for other resource type.

I feel there should be a test that ensure the issue in the bug is resolved.  It also verifies that the generated.xml can at least run through aapt.",0
22,"On 2008/11/11 10:23:37, David Turner wrote:
> hmm, this is a bit hard to understand. May I suggest you to replace it with the
> following:
> """"""
> XXX: the !/bin/bash invocation on the first line has been
>      commented out because it doesn't work on FreeBSD
>      (which uses /usr/local/bin/bash, instead of /bin/bash)
> 
>      note that, with this comment, this script is invoked
>      with the right bash shell from build/core/main.mk
> """"""
> 

Well, your version is more easy to understand. I'll replace comment in ammended commit.",1
24,"Also explain in this file why the compiler was failing, and dx's smart/dumb behavior.",-1
25,"We tried to avoid include the large block in #if ... #else... #endif. :).

And does this change break MIPS? Our change will not impact MIPS.",1
26,"This class should be for launch specific utilities, but I agree with you, it makes sense to consolidate until it becomes unwieldy.",1
27,Actually this is tricky to use an enum because this is going to be mostly dynamic based on the content of the images folder.,0
28,"i think you really want a pthread_once_t here instead, unless i'm misunderstanding what you're trying to do.",0
29,"who uses this method ? I don't see why this is useful. I'd just get rid of this method and the associated field.

Once you do that, you can just collapse this class into a single static method (runAll) and get rid of the Pair class.",-1
30,"Thanks Ian, I was not aware of this. Created b/15574371.",1
32,I prefer the increased type safety of enum classes.,0
33,"I disabled these with 
pass_manager_options->SetDisablePassList(""GVN,DCE"") in jit_compiler.cc, there wasn't an option for kLocalValueNumbering.",0
34,"In which case, shouldn't the code just say that all other open projects should already have their SDK's pointing to the SDK used by the IDE?

i.e., now that we do this, we shouldn't have to modify other projects, only this project since all others should already be in sync.

The fishy part here is just that choosing something in a project import dialog affects other projects which doesn't make sense. If you want that experience, then the dialog should be more of a global IDE preference.",-1
